Site Name,Report Date,Time Period Ending,Time Interval,0 - 520 cm,521  - 660 cm,661 - 1160 cm,1160+ cm,0 - 10 mph,11 - 15 mph,16 - 20 mph,21 - 25 mph,26 - 30 mph,31 - 35 mph,36 - 40 mph,41 - 45 mph,46 - 50 mph,51 - 55 mph,56 - 60 mph,61 - 70 mph,71 - 80 mph,80+ mph,Avg mph,Total Volume
A1M/9842B,01/01/2019 00:00:00,00:14:00,0,14,1,3,0,,,,,,,,,,,,,,,76,18
A1M/9842B,01/01/2019 00:00:00,00:29:00,1,21,0,2,1,,,,,,,,,,,,,,,73,24
A1M/9842B,01/01/2019 00:00:00,00:44:00,2,24,1,0,4,,,,,,,,,,,,,,,67,29
A1M/9842B,01/01/2019 00:00:00,00:59:00,3,29,6,3,3,,,,,,,,,,,,,,,67,41
A1M/9842B,01/01/2019 00:00:00,01:14:00,4,41,0,1,6,,,,,,,,,,,,,,,70,48
A1M/9842B,01/01/2019 00:00:00,01:29:00,5,25,2,0,2,,,,,,,,,,,,,,,72,29
A1M/9842B,01/01/2019 00:00:00,01:44:00,6,41,1,2,5,,,,,,,,,,,,,,,68,49
A1M/9842B,01/01/2019 00:00:00,01:59:00,7,35,2,0,3,,,,,,,,,,,,,,,71,40
A1M/9842B,01/01/2019 00:00:00,02:14:00,8,35,4,1,4,,,,,,,,,,,,,,,70,44
A1M/9842B,01/01/2019 00:00:00,02:29:00,9,21,1,2,2,,,,,,,,,,,,,,,70,26
A1M/9842B,01/01/2019 00:00:00,02:44:00,10,20,0,0,4,,,,,,,,,,,,,,,66,24
A1M/9842B,01/01/2019 00:00:00,02:59:00,11,11,1,2,4,,,,,,,,,,,,,,,67,18
A1M/9842B,01/01/2019 00:00:00,03:14:00,12,19,1,0,3,,,,,,,,,,,,,,,68,23
A1M/9842B,01/01/2019 00:00:00,03:29:00,13,8,1,0,3,,,,,,,,,,,,,,,67,12
A1M/9842B,01/01/2019 00:00:00,03:44:00,14,9,2,1,5,,,,,,,,,,,,,,,67,17
A1M/9842B,01/01/2019 00:00:00,03:59:00,15,8,1,0,1,,,,,,,,,,,,,,,68,10
A1M/9842B,01/01/2019 00:00:00,04:14:00,16,17,0,1,8,,,,,,,,,,,,,,,67,26
A1M/9842B,01/01/2019 00:00:00,04:29:00,17,20,1,1,3,,,,,,,,,,,,,,,66,25
A1M/9842B,01/01/2019 00:00:00,04:44:00,18,18,1,0,7,,,,,,,,,,,,,,,64,26
A1M/9842B,01/01/2019 00:00:00,04:59:00,19,17,1,0,8,,,,,,,,,,,,,,,65,26
A1M/9842B,01/01/2019 00:00:00,05:14:00,20,12,3,1,11,,,,,,,,,,,,,,,62,27
A1M/9842B,01/01/2019 00:00:00,05:29:00,21,16,1,0,5,,,,,,,,,,,,,,,68,22
A1M/9842B,01/01/2019 00:00:00,05:44:00,22,25,1,0,8,,,,,,,,,,,,,,,66,34
A1M/9842B,01/01/2019 00:00:00,05:59:00,23,20,1,0,15,,,,,,,,,,,,,,,64,36
A1M/9842B,01/01/2019 00:00:00,06:14:00,24,29,5,0,7,,,,,,,,,,,,,,,67,41
A1M/9842B,01/01/2019 00:00:00,06:29:00,25,34,3,0,8,,,,,,,,,,,,,,,67,45
A1M/9842B,01/01/2019 00:00:00,06:44:00,26,38,0,1,16,,,,,,,,,,,,,,,65,55
A1M/9842B,01/01/2019 00:00:00,06:59:00,27,33,4,3,6,,,,,,,,,,,,,,,68,46
A1M/9842B,01/01/2019 00:00:00,07:14:00,28,43,1,0,14,,,,,,,,,,,,,,,66,58
A1M/9842B,01/01/2019 00:00:00,07:29:00,29,33,2,3,8,,,,,,,,,,,,,,,67,46
A1M/9842B,01/01/2019 00:00:00,07:44:00,30,50,7,1,8,,,,,,,,,,,,,,,70,66
A1M/9842B,01/01/2019 00:00:00,07:59:00,31,41,2,3,13,,,,,,,,,,,,,,,69,59
A1M/9842B,01/01/2019 00:00:00,08:14:00,32,64,3,1,7,,,,,,,,,,,,,,,71,75
A1M/9842B,01/01/2019 00:00:00,08:29:00,33,66,4,0,12,,,,,,,,,,,,,,,70,82
A1M/9842B,01/01/2019 00:00:00,08:44:00,34,82,4,1,7,,,,,,,,,,,,,,,73,94
A1M/9842B,01/01/2019 00:00:00,08:59:00,35,86,7,3,16,,,,,,,,,,,,,,,70,112
A1M/9842B,01/01/2019 00:00:00,09:14:00,36,99,5,5,10,,,,,,,,,,,,,,,71,119
A1M/9842B,01/01/2019 00:00:00,09:29:00,37,125,3,2,10,,,,,,,,,,,,,,,72,140
A1M/9842B,01/01/2019 00:00:00,09:44:00,38,152,5,1,14,,,,,,,,,,,,,,,72,172
A1M/9842B,01/01/2019 00:00:00,09:59:00,39,201,13,6,17,,,,,,,,,,,,,,,72,237
A1M/9842B,01/01/2019 00:00:00,10:14:00,40,222,7,8,11,,,,,,,,,,,,,,,73,248
A1M/9842B,01/01/2019 00:00:00,10:29:00,41,267,13,6,12,,,,,,,,,,,,,,,72,298
A1M/9842B,01/01/2019 00:00:00,10:44:00,42,372,14,2,13,,,,,,,,,,,,,,,72,401
A1M/9842B,01/01/2019 00:00:00,10:59:00,43,382,9,11,17,,,,,,,,,,,,,,,71,419
A1M/9842B,01/01/2019 00:00:00,11:14:00,44,491,11,9,12,,,,,,,,,,,,,,,72,523
A1M/9842B,01/01/2019 00:00:00,11:29:00,45,516,17,12,8,,,,,,,,,,,,,,,72,553
A1M/9842B,01/01/2019 00:00:00,11:44:00,46,570,13,7,11,,,,,,,,,,,,,,,73,601
A1M/9842B,01/01/2019 00:00:00,11:59:00,47,629,9,8,11,,,,,,,,,,,,,,,72,657
A1M/9842B,01/01/2019 00:00:00,12:14:00,48,606,22,8,16,,,,,,,,,,,,,,,72,652
A1M/9842B,01/01/2019 00:00:00,12:29:00,49,720,21,19,10,,,,,,,,,,,,,,,72,770
A1M/9842B,01/01/2019 00:00:00,12:44:00,50,676,19,14,12,,,,,,,,,,,,,,,73,721
A1M/9842B,01/01/2019 00:00:00,12:59:00,51,666,23,13,12,,,,,,,,,,,,,,,72,714
A1M/9842B,01/01/2019 00:00:00,13:14:00,52,735,26,10,21,,,,,,,,,,,,,,,72,792
A1M/9842B,01/01/2019 00:00:00,13:29:00,53,713,25,13,20,,,,,,,,,,,,,,,72,771
A1M/9842B,01/01/2019 00:00:00,13:44:00,54,656,26,16,18,,,,,,,,,,,,,,,72,716
A1M/9842B,01/01/2019 00:00:00,13:59:00,55,753,13,13,21,,,,,,,,,,,,,,,72,800
A1M/9842B,01/01/2019 00:00:00,14:14:00,56,785,21,8,8,,,,,,,,,,,,,,,73,822
A1M/9842B,01/01/2019 00:00:00,14:29:00,57,713,23,11,10,,,,,,,,,,,,,,,73,757
A1M/9842B,01/01/2019 00:00:00,14:44:00,58,753,21,10,16,,,,,,,,,,,,,,,73,800
A1M/9842B,01/01/2019 00:00:00,14:59:00,59,788,19,7,16,,,,,,,,,,,,,,,71,830
A1M/9842B,01/01/2019 00:00:00,15:14:00,60,776,17,19,20,,,,,,,,,,,,,,,72,832
A1M/9842B,01/01/2019 00:00:00,15:29:00,61,817,16,10,14,,,,,,,,,,,,,,,71,857
A1M/9842B,01/01/2019 00:00:00,15:44:00,62,787,18,8,16,,,,,,,,,,,,,,,72,829
A1M/9842B,01/01/2019 00:00:00,15:59:00,63,833,21,6,12,,,,,,,,,,,,,,,71,872
A1M/9842B,01/01/2019 00:00:00,16:14:00,64,766,20,7,12,,,,,,,,,,,,,,,72,805
A1M/9842B,01/01/2019 00:00:00,16:29:00,65,745,21,6,16,,,,,,,,,,,,,,,71,788
A1M/9842B,01/01/2019 00:00:00,16:44:00,66,678,25,5,15,,,,,,,,,,,,,,,70,723
A1M/9842B,01/01/2019 00:00:00,16:59:00,67,623,21,13,15,,,,,,,,,,,,,,,71,672
A1M/9842B,01/01/2019 00:00:00,17:14:00,68,621,20,5,15,,,,,,,,,,,,,,,72,661
A1M/9842B,01/01/2019 00:00:00,17:29:00,69,522,25,8,24,,,,,,,,,,,,,,,71,579
A1M/9842B,01/01/2019 00:00:00,17:44:00,70,513,14,5,14,,,,,,,,,,,,,,,72,546
A1M/9842B,01/01/2019 00:00:00,17:59:00,71,476,16,9,11,,,,,,,,,,,,,,,73,512
A1M/9842B,01/01/2019 00:00:00,18:14:00,72,431,10,3,15,,,,,,,,,,,,,,,72,459
A1M/9842B,01/01/2019 00:00:00,18:29:00,73,435,7,6,7,,,,,,,,,,,,,,,72,455
A1M/9842B,01/01/2019 00:00:00,18:44:00,74,361,14,4,16,,,,,,,,,,,,,,,72,395
A1M/9842B,01/01/2019 00:00:00,18:59:00,75,365,11,0,11,,,,,,,,,,,,,,,72,387
A1M/9842B,01/01/2019 00:00:00,19:14:00,76,365,11,2,16,,,,,,,,,,,,,,,72,394
A1M/9842B,01/01/2019 00:00:00,19:29:00,77,297,8,3,11,,,,,,,,,,,,,,,72,319
A1M/9842B,01/01/2019 00:00:00,19:44:00,78,284,5,4,25,,,,,,,,,,,,,,,70,318
A1M/9842B,01/01/2019 00:00:00,19:59:00,79,243,10,6,14,,,,,,,,,,,,,,,72,273
A1M/9842B,01/01/2019 00:00:00,20:14:00,80,229,5,8,25,,,,,,,,,,,,,,,71,267
A1M/9842B,01/01/2019 00:00:00,20:29:00,81,218,7,1,17,,,,,,,,,,,,,,,72,243
A1M/9842B,01/01/2019 00:00:00,20:44:00,82,182,4,4,14,,,,,,,,,,,,,,,70,204
A1M/9842B,01/01/2019 00:00:00,20:59:00,83,151,5,6,17,,,,,,,,,,,,,,,70,179
A1M/9842B,01/01/2019 00:00:00,21:14:00,84,142,2,2,10,,,,,,,,,,,,,,,73,156
A1M/9842B,01/01/2019 00:00:00,21:29:00,85,120,4,4,13,,,,,,,,,,,,,,,70,141
A1M/9842B,01/01/2019 00:00:00,21:44:00,86,95,5,4,10,,,,,,,,,,,,,,,71,114
A1M/9842B,01/01/2019 00:00:00,21:59:00,87,100,5,1,13,,,,,,,,,,,,,,,70,119
A1M/9842B,01/01/2019 00:00:00,22:14:00,88,70,4,0,13,,,,,,,,,,,,,,,69,87
A1M/9842B,01/01/2019 00:00:00,22:29:00,89,72,4,2,13,,,,,,,,,,,,,,,69,91
A1M/9842B,01/01/2019 00:00:00,22:44:00,90,64,1,2,8,,,,,,,,,,,,,,,71,75
A1M/9842B,01/01/2019 00:00:00,22:59:00,91,43,4,3,16,,,,,,,,,,,,,,,67,66
A1M/9842B,01/01/2019 00:00:00,23:14:00,92,48,3,5,10,,,,,,,,,,,,,,,69,66
A1M/9842B,01/01/2019 00:00:00,23:29:00,93,33,6,0,12,,,,,,,,,,,,,,,67,51
A1M/9842B,01/01/2019 00:00:00,23:44:00,94,21,3,1,13,,,,,,,,,,,,,,,64,38
A1M/9842B,01/01/2019 00:00:00,23:59:00,95,25,3,1,11,,,,,,,,,,,,,,,65,40
A1M/9842B,02/01/2019 00:00:00,00:14:00,0,21,2,2,9,,,,,,,,,,,,,,,67,34
A1M/9842B,02/01/2019 00:00:00,00:29:00,1,20,2,2,12,,,,,,,,,,,,,,,65,36
A1M/9842B,02/01/2019 00:00:00,00:44:00,2,24,0,1,17,,,,,,,,,,,,,,,64,42
A1M/9842B,02/01/2019 00:00:00,00:59:00,3,17,3,1,15,,,,,,,,,,,,,,,61,36
A1M/9842B,02/01/2019 00:00:00,01:14:00,4,17,3,5,17,,,,,,,,,,,,,,,62,42
A1M/9842B,02/01/2019 00:00:00,01:29:00,5,17,2,1,17,,,,,,,,,,,,,,,63,37
A1M/9842B,02/01/2019 00:00:00,01:44:00,6,14,2,1,13,,,,,,,,,,,,,,,62,30
A1M/9842B,02/01/2019 00:00:00,01:59:00,7,17,3,4,18,,,,,,,,,,,,,,,63,42
A1M/9842B,02/01/2019 00:00:00,02:14:00,8,11,2,4,24,,,,,,,,,,,,,,,59,41
A1M/9842B,02/01/2019 00:00:00,02:29:00,9,9,1,3,13,,,,,,,,,,,,,,,62,26
A1M/9842B,02/01/2019 00:00:00,02:44:00,10,12,1,5,22,,,,,,,,,,,,,,,59,40
A1M/9842B,02/01/2019 00:00:00,02:59:00,11,15,1,4,19,,,,,,,,,,,,,,,62,39
A1M/9842B,02/01/2019 00:00:00,03:14:00,12,21,4,4,18,,,,,,,,,,,,,,,64,47
A1M/9842B,02/01/2019 00:00:00,03:29:00,13,20,6,6,16,,,,,,,,,,,,,,,64,48
A1M/9842B,02/01/2019 00:00:00,03:44:00,14,32,3,6,21,,,,,,,,,,,,,,,64,62
A1M/9842B,02/01/2019 00:00:00,03:59:00,15,36,2,3,25,,,,,,,,,,,,,,,64,66
A1M/9842B,02/01/2019 00:00:00,04:14:00,16,38,4,6,28,,,,,,,,,,,,,,,64,76
A1M/9842B,02/01/2019 00:00:00,04:29:00,17,50,6,8,24,,,,,,,,,,,,,,,67,88
A1M/9842B,02/01/2019 00:00:00,04:44:00,18,54,11,8,40,,,,,,,,,,,,,,,65,113
A1M/9842B,02/01/2019 00:00:00,04:59:00,19,79,14,12,36,,,,,,,,,,,,,,,66,141
A1M/9842B,02/01/2019 00:00:00,05:14:00,20,95,11,6,52,,,,,,,,,,,,,,,66,164
A1M/9842B,02/01/2019 00:00:00,05:29:00,21,114,24,7,50,,,,,,,,,,,,,,,67,195
A1M/9842B,02/01/2019 00:00:00,05:44:00,22,122,17,12,50,,,,,,,,,,,,,,,68,201
A1M/9842B,02/01/2019 00:00:00,05:59:00,23,131,16,14,87,,,,,,,,,,,,,,,65,248
A1M/9842B,02/01/2019 00:00:00,06:14:00,24,190,18,6,82,,,,,,,,,,,,,,,66,296
A1M/9842B,02/01/2019 00:00:00,06:29:00,25,188,30,12,75,,,,,,,,,,,,,,,68,305
A1M/9842B,02/01/2019 00:00:00,06:44:00,26,283,39,18,54,,,,,,,,,,,,,,,70,394
A1M/9842B,02/01/2019 00:00:00,06:59:00,27,333,46,28,85,,,,,,,,,,,,,,,67,492
A1M/9842B,02/01/2019 00:00:00,07:14:00,28,396,47,22,78,,,,,,,,,,,,,,,68,543
A1M/9842B,02/01/2019 00:00:00,07:29:00,29,396,42,27,88,,,,,,,,,,,,,,,67,553
A1M/9842B,02/01/2019 00:00:00,07:44:00,30,435,47,18,102,,,,,,,,,,,,,,,67,602
A1M/9842B,02/01/2019 00:00:00,07:59:00,31,451,46,20,107,,,,,,,,,,,,,,,66,624
A1M/9842B,02/01/2019 00:00:00,08:14:00,32,397,39,22,88,,,,,,,,,,,,,,,67,546
A1M/9842B,02/01/2019 00:00:00,08:29:00,33,398,39,31,104,,,,,,,,,,,,,,,66,572
A1M/9842B,02/01/2019 00:00:00,08:44:00,34,404,42,36,100,,,,,,,,,,,,,,,67,582
A1M/9842B,02/01/2019 00:00:00,08:59:00,35,331,35,36,100,,,,,,,,,,,,,,,67,502
A1M/9842B,02/01/2019 00:00:00,09:14:00,36,314,44,25,101,,,,,,,,,,,,,,,66,484
A1M/9842B,02/01/2019 00:00:00,09:29:00,37,412,33,35,104,,,,,,,,,,,,,,,66,584
A1M/9842B,02/01/2019 00:00:00,09:44:00,38,370,35,27,99,,,,,,,,,,,,,,,67,531
A1M/9842B,02/01/2019 00:00:00,09:59:00,39,419,46,37,93,,,,,,,,,,,,,,,67,595
A1M/9842B,02/01/2019 00:00:00,10:14:00,40,457,45,41,104,,,,,,,,,,,,,,,67,647
A1M/9842B,02/01/2019 00:00:00,10:29:00,41,570,31,46,92,,,,,,,,,,,,,,,67,739
A1M/9842B,02/01/2019 00:00:00,10:44:00,42,561,42,47,103,,,,,,,,,,,,,,,66,753
A1M/9842B,02/01/2019 00:00:00,10:59:00,43,653,52,54,101,,,,,,,,,,,,,,,65,860
A1M/9842B,02/01/2019 00:00:00,11:14:00,44,720,40,54,91,,,,,,,,,,,,,,,65,905
A1M/9842B,02/01/2019 00:00:00,11:29:00,45,850,41,49,105,,,,,,,,,,,,,,,64,1045
A1M/9842B,02/01/2019 00:00:00,11:44:00,46,773,49,46,81,,,,,,,,,,,,,,,66,949
A1M/9842B,02/01/2019 00:00:00,11:59:00,47,808,40,51,84,,,,,,,,,,,,,,,66,983
A1M/9842B,02/01/2019 00:00:00,12:14:00,48,770,40,48,91,,,,,,,,,,,,,,,66,949
A1M/9842B,02/01/2019 00:00:00,12:29:00,49,745,51,40,100,,,,,,,,,,,,,,,67,936
A1M/9842B,02/01/2019 00:00:00,12:44:00,50,758,43,39,110,,,,,,,,,,,,,,,65,950
A1M/9842B,02/01/2019 00:00:00,12:59:00,51,776,51,52,83,,,,,,,,,,,,,,,65,962
A1M/9842B,02/01/2019 00:00:00,13:14:00,52,703,52,56,107,,,,,,,,,,,,,,,67,918
A1M/9842B,02/01/2019 00:00:00,13:29:00,53,726,59,45,105,,,,,,,,,,,,,,,67,935
A1M/9842B,02/01/2019 00:00:00,13:44:00,54,701,49,45,90,,,,,,,,,,,,,,,68,885
A1M/9842B,02/01/2019 00:00:00,13:59:00,55,696,54,46,95,,,,,,,,,,,,,,,67,891
A1M/9842B,02/01/2019 00:00:00,14:14:00,56,734,43,54,95,,,,,,,,,,,,,,,65,926
A1M/9842B,02/01/2019 00:00:00,14:29:00,57,660,46,32,101,,,,,,,,,,,,,,,67,839
A1M/9842B,02/01/2019 00:00:00,14:44:00,58,682,51,33,90,,,,,,,,,,,,,,,67,856
A1M/9842B,02/01/2019 00:00:00,14:59:00,59,665,53,38,89,,,,,,,,,,,,,,,67,845
A1M/9842B,02/01/2019 00:00:00,15:14:00,60,672,47,32,103,,,,,,,,,,,,,,,67,854
A1M/9842B,02/01/2019 00:00:00,15:29:00,61,625,48,43,98,,,,,,,,,,,,,,,66,814
A1M/9842B,02/01/2019 00:00:00,15:44:00,62,734,46,33,91,,,,,,,,,,,,,,,66,904
A1M/9842B,02/01/2019 00:00:00,15:59:00,63,644,53,20,77,,,,,,,,,,,,,,,67,794
A1M/9842B,02/01/2019 00:00:00,16:14:00,64,614,42,23,79,,,,,,,,,,,,,,,67,758
A1M/9842B,02/01/2019 00:00:00,16:29:00,65,609,40,30,72,,,,,,,,,,,,,,,67,751
A1M/9842B,02/01/2019 00:00:00,16:44:00,66,591,43,25,68,,,,,,,,,,,,,,,67,727
A1M/9842B,02/01/2019 00:00:00,16:59:00,67,547,48,16,79,,,,,,,,,,,,,,,66,690
A1M/9842B,02/01/2019 00:00:00,17:14:00,68,489,29,17,81,,,,,,,,,,,,,,,67,616
A1M/9842B,02/01/2019 00:00:00,17:29:00,69,482,30,19,89,,,,,,,,,,,,,,,67,620
A1M/9842B,02/01/2019 00:00:00,17:44:00,70,464,31,20,59,,,,,,,,,,,,,,,68,574
A1M/9842B,02/01/2019 00:00:00,17:59:00,71,454,30,19,75,,,,,,,,,,,,,,,68,578
A1M/9842B,02/01/2019 00:00:00,18:14:00,72,397,21,11,66,,,,,,,,,,,,,,,68,495
A1M/9842B,02/01/2019 00:00:00,18:29:00,73,285,16,15,63,,,,,,,,,,,,,,,68,379
A1M/9842B,02/01/2019 00:00:00,18:44:00,74,275,12,15,67,,,,,,,,,,,,,,,68,369
A1M/9842B,02/01/2019 00:00:00,18:59:00,75,237,16,10,52,,,,,,,,,,,,,,,69,315
A1M/9842B,02/01/2019 00:00:00,19:14:00,76,228,13,11,70,,,,,,,,,,,,,,,68,322
A1M/9842B,02/01/2019 00:00:00,19:29:00,77,210,8,12,61,,,,,,,,,,,,,,,67,291
A1M/9842B,02/01/2019 00:00:00,19:44:00,78,217,10,6,57,,,,,,,,,,,,,,,68,290
A1M/9842B,02/01/2019 00:00:00,19:59:00,79,171,10,19,55,,,,,,,,,,,,,,,67,255
A1M/9842B,02/01/2019 00:00:00,20:14:00,80,161,13,11,54,,,,,,,,,,,,,,,68,239
A1M/9842B,02/01/2019 00:00:00,20:29:00,81,152,12,6,47,,,,,,,,,,,,,,,68,217
A1M/9842B,02/01/2019 00:00:00,20:44:00,82,158,11,14,34,,,,,,,,,,,,,,,69,217
A1M/9842B,02/01/2019 00:00:00,20:59:00,83,90,11,12,49,,,,,,,,,,,,,,,65,162
A1M/9842B,02/01/2019 00:00:00,21:14:00,84,101,9,12,42,,,,,,,,,,,,,,,67,164
A1M/9842B,02/01/2019 00:00:00,21:29:00,85,87,9,10,34,,,,,,,,,,,,,,,65,140
A1M/9842B,02/01/2019 00:00:00,21:44:00,86,99,8,14,38,,,,,,,,,,,,,,,67,159
A1M/9842B,02/01/2019 00:00:00,21:59:00,87,73,8,8,24,,,,,,,,,,,,,,,68,113
A1M/9842B,02/01/2019 00:00:00,22:14:00,88,52,7,6,32,,,,,,,,,,,,,,,65,97
A1M/9842B,02/01/2019 00:00:00,22:29:00,89,63,4,7,23,,,,,,,,,,,,,,,66,97
A1M/9842B,02/01/2019 00:00:00,22:44:00,90,52,4,8,22,,,,,,,,,,,,,,,67,86
A1M/9842B,02/01/2019 00:00:00,22:59:00,91,76,2,9,27,,,,,,,,,,,,,,,69,114
A1M/9842B,02/01/2019 00:00:00,23:14:00,92,93,2,7,26,,,,,,,,,,,,,,,71,128
A1M/9842B,02/01/2019 00:00:00,23:29:00,93,134,6,3,32,,,,,,,,,,,,,,,71,175
A1M/9842B,02/01/2019 00:00:00,23:44:00,94,209,10,2,26,,,,,,,,,,,,,,,75,247
A1M/9842B,02/01/2019 00:00:00,23:59:00,95,155,13,10,28,,,,,,,,,,,,,,,72,206
A1M/9842B,03/01/2019 00:00:00,00:14:00,0,73,6,4,28,,,,,,,,,,,,,,,67,111
A1M/9842B,03/01/2019 00:00:00,00:29:00,1,52,3,6,23,,,,,,,,,,,,,,,67,84
A1M/9842B,03/01/2019 00:00:00,00:44:00,2,40,3,6,23,,,,,,,,,,,,,,,65,72
A1M/9842B,03/01/2019 00:00:00,00:59:00,3,30,4,6,21,,,,,,,,,,,,,,,62,61
A1M/9842B,03/01/2019 00:00:00,01:14:00,4,17,2,3,23,,,,,,,,,,,,,,,60,45
A1M/9842B,03/01/2019 00:00:00,01:29:00,5,16,5,9,18,,,,,,,,,,,,,,,61,48
A1M/9842B,03/01/2019 00:00:00,01:44:00,6,17,1,1,33,,,,,,,,,,,,,,,59,52
A1M/9842B,03/01/2019 00:00:00,01:59:00,7,16,3,3,28,,,,,,,,,,,,,,,60,50
A1M/9842B,03/01/2019 00:00:00,02:14:00,8,11,6,6,35,,,,,,,,,,,,,,,58,58
A1M/9842B,03/01/2019 00:00:00,02:29:00,9,11,0,4,30,,,,,,,,,,,,,,,58,45
A1M/9842B,03/01/2019 00:00:00,02:44:00,10,12,1,2,18,,,,,,,,,,,,,,,60,33
A1M/9842B,03/01/2019 00:00:00,02:59:00,11,10,4,5,30,,,,,,,,,,,,,,,58,49
A1M/9842B,03/01/2019 00:00:00,03:14:00,12,13,0,5,29,,,,,,,,,,,,,,,58,47
A1M/9842B,03/01/2019 00:00:00,03:29:00,13,28,4,4,20,,,,,,,,,,,,,,,64,56
A1M/9842B,03/01/2019 00:00:00,03:44:00,14,14,8,8,16,,,,,,,,,,,,,,,62,46
A1M/9842B,03/01/2019 00:00:00,03:59:00,15,18,5,6,31,,,,,,,,,,,,,,,61,60
A1M/9842B,03/01/2019 00:00:00,04:14:00,16,30,4,5,34,,,,,,,,,,,,,,,63,73
A1M/9842B,03/01/2019 00:00:00,04:29:00,17,33,3,3,29,,,,,,,,,,,,,,,64,68
A1M/9842B,03/01/2019 00:00:00,04:44:00,18,41,15,9,39,,,,,,,,,,,,,,,65,104
A1M/9842B,03/01/2019 00:00:00,04:59:00,19,43,14,9,56,,,,,,,,,,,,,,,63,122
A1M/9842B,03/01/2019 00:00:00,05:14:00,20,66,18,13,72,,,,,,,,,,,,,,,63,169
A1M/9842B,03/01/2019 00:00:00,05:29:00,21,84,15,9,50,,,,,,,,,,,,,,,66,158
A1M/9842B,03/01/2019 00:00:00,05:44:00,22,96,17,12,63,,,,,,,,,,,,,,,65,188
A1M/9842B,03/01/2019 00:00:00,05:59:00,23,112,18,19,87,,,,,,,,,,,,,,,64,236
A1M/9842B,03/01/2019 00:00:00,06:14:00,24,139,31,24,89,,,,,,,,,,,,,,,65,283
A1M/9842B,03/01/2019 00:00:00,06:29:00,25,204,27,27,83,,,,,,,,,,,,,,,66,341
A1M/9842B,03/01/2019 00:00:00,06:44:00,26,253,45,15,85,,,,,,,,,,,,,,,67,398
A1M/9842B,03/01/2019 00:00:00,06:59:00,27,311,43,31,86,,,,,,,,,,,,,,,66,471
A1M/9842B,03/01/2019 00:00:00,07:14:00,28,413,44,32,93,,,,,,,,,,,,,,,67,582
A1M/9842B,03/01/2019 00:00:00,07:29:00,29,396,43,20,77,,,,,,,,,,,,,,,68,536
A1M/9842B,03/01/2019 00:00:00,07:44:00,30,462,66,33,89,,,,,,,,,,,,,,,68,650
A1M/9842B,03/01/2019 00:00:00,07:59:00,31,400,46,35,87,,,,,,,,,,,,,,,68,568
A1M/9842B,03/01/2019 00:00:00,08:14:00,32,424,44,34,89,,,,,,,,,,,,,,,67,591
A1M/9842B,03/01/2019 00:00:00,08:29:00,33,490,45,31,106,,,,,,,,,,,,,,,67,672
A1M/9842B,03/01/2019 00:00:00,08:44:00,34,432,55,47,90,,,,,,,,,,,,,,,67,624
A1M/9842B,03/01/2019 00:00:00,08:59:00,35,388,53,37,110,,,,,,,,,,,,,,,67,588
A1M/9842B,03/01/2019 00:00:00,09:14:00,36,331,48,41,83,,,,,,,,,,,,,,,67,503
A1M/9842B,03/01/2019 00:00:00,09:29:00,37,374,41,61,109,,,,,,,,,,,,,,,66,585
A1M/9842B,03/01/2019 00:00:00,09:44:00,38,362,52,51,100,,,,,,,,,,,,,,,66,565
A1M/9842B,03/01/2019 00:00:00,09:59:00,39,344,38,38,91,,,,,,,,,,,,,,,67,511
A1M/9842B,03/01/2019 00:00:00,10:14:00,40,424,37,41,125,,,,,,,,,,,,,,,66,627
A1M/9842B,03/01/2019 00:00:00,10:29:00,41,479,47,38,115,,,,,,,,,,,,,,,65,679
A1M/9842B,03/01/2019 00:00:00,10:44:00,42,457,53,44,99,,,,,,,,,,,,,,,66,653
A1M/9842B,03/01/2019 00:00:00,10:59:00,43,499,38,46,124,,,,,,,,,,,,,,,65,707
A1M/9842B,03/01/2019 00:00:00,11:14:00,44,557,48,58,109,,,,,,,,,,,,,,,46,772
A1M/9842B,03/01/2019 00:00:00,11:29:00,45,372,25,26,48,,,,,,,,,,,,,,,10,471
A1M/9842B,03/01/2019 00:00:00,11:44:00,46,364,26,40,69,,,,,,,,,,,,,,,14,499
A1M/9842B,03/01/2019 00:00:00,11:59:00,47,666,43,60,140,,,,,,,,,,,,,,,42,909
A1M/9842B,03/01/2019 00:00:00,12:14:00,48,498,72,59,101,,,,,,,,,,,,,,,67,730
A1M/9842B,03/01/2019 00:00:00,12:29:00,49,516,55,53,121,,,,,,,,,,,,,,,67,745
A1M/9842B,03/01/2019 00:00:00,12:44:00,50,446,45,42,114,,,,,,,,,,,,,,,67,647
A1M/9842B,03/01/2019 00:00:00,12:59:00,51,561,40,57,140,,,,,,,,,,,,,,,66,798
A1M/9842B,03/01/2019 00:00:00,13:14:00,52,454,53,68,97,,,,,,,,,,,,,,,67,672
A1M/9842B,03/01/2019 00:00:00,13:29:00,53,518,50,61,117,,,,,,,,,,,,,,,67,746
A1M/9842B,03/01/2019 00:00:00,13:44:00,54,512,50,56,110,,,,,,,,,,,,,,,66,728
A1M/9842B,03/01/2019 00:00:00,13:59:00,55,542,68,48,98,,,,,,,,,,,,,,,67,756
A1M/9842B,03/01/2019 00:00:00,14:14:00,56,472,52,57,112,,,,,,,,,,,,,,,67,693
A1M/9842B,03/01/2019 00:00:00,14:29:00,57,460,55,56,115,,,,,,,,,,,,,,,66,686
A1M/9842B,03/01/2019 00:00:00,14:44:00,58,494,43,55,110,,,,,,,,,,,,,,,67,702
