"site_name","day_of_week","date","day_of_year","timestamp","interval_of_day","avg_mph","total_volume","missing_speed","missing_volume"
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 00:14:00,0,58.5,18,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 00:29:00,1,60.0333333333333,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 00:44:00,2,61.2,12,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 00:59:00,3,56.0333333333333,12,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 01:14:00,4,56.8666666666667,15,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 01:29:00,5,55.6666666666667,9,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 01:44:00,6,56.2666666666667,4,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 01:59:00,7,56.5333333333333,6,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 02:14:00,8,51.0333333333333,1,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 02:29:00,9,53.2666666666667,2,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 02:44:00,10,53.1,4,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 02:59:00,11,60.5,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 03:14:00,12,60.2666666666667,4,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 03:29:00,13,60.8,6,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 03:44:00,14,57.9,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 03:59:00,15,58.8,5,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 04:14:00,16,57.5,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 04:29:00,17,58.6333333333333,12,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 04:44:00,18,57.0333333333333,15,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 04:59:00,19,55.1666666666667,16,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 05:14:00,20,58.7666666666667,36,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 05:29:00,21,58.5666666666667,40,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 05:44:00,22,59.4333333333333,27,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 05:59:00,23,60.9333333333333,41,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 06:14:00,24,62.6,49,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 06:29:00,25,58.7333333333333,61,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 06:44:00,26,59.0333333333333,96,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 06:59:00,27,59.4333333333333,78,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 07:14:00,28,59.2,93,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 07:29:00,29,60.5333333333333,134,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 07:44:00,30,60.6333333333333,105,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 07:59:00,31,63.0666666666667,110,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 08:14:00,32,61.7333333333333,115,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 08:29:00,33,61.7,131,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 08:44:00,34,61.1,124,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 08:59:00,35,60.3,118,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 09:14:00,36,61,80,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 09:29:00,37,61.1333333333333,105,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 09:44:00,38,60.7666666666667,76,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 09:59:00,39,60.4333333333333,82,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 10:14:00,40,60.9,82,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 10:29:00,41,61.4666666666667,76,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 10:44:00,42,61.0666666666667,72,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 10:59:00,43,57.8333333333333,66,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 11:14:00,44,59.4333333333333,56,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 11:29:00,45,60.3333333333333,102,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 11:44:00,46,60.0333333333333,97,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 11:59:00,47,59.1333333333333,69,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 12:14:00,48,59.1333333333333,104,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 12:29:00,49,58.9333333333333,92,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 12:44:00,50,60.9,94,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 12:59:00,51,61.5333333333333,115,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 13:14:00,52,59.1666666666667,105,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 13:29:00,53,61.8,109,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 13:44:00,54,62.3,121,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 13:59:00,55,61.5333333333333,113,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 14:14:00,56,60.0666666666667,134,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 14:29:00,57,61.2333333333333,183,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 14:44:00,58,63.0333333333333,180,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 14:59:00,59,62.7,239,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 15:14:00,60,61.9333333333333,256,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 15:29:00,61,62.4333333333333,326,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 15:44:00,62,63.5,408,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 15:59:00,63,63.9333333333333,514,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 16:14:00,64,63.9666666666667,494,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 16:29:00,65,63.9666666666667,638,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 16:44:00,66,63.6666666666667,633,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 16:59:00,67,62.4,642,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 17:14:00,68,62.2,618,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 17:29:00,69,61.5333333333333,631,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 17:44:00,70,61.6333333333333,571,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 17:59:00,71,62.1666666666667,496,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 18:14:00,72,61.9666666666667,378,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 18:29:00,73,61.0333333333333,314,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 18:44:00,74,61.6,244,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 18:59:00,75,59.7,145,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 19:14:00,76,59.8,123,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 19:29:00,77,59.8666666666667,112,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 19:44:00,78,61.1333333333333,63,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 19:59:00,79,58.9666666666667,66,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 20:14:00,80,59.4,74,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 20:29:00,81,59.5,70,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 20:44:00,82,57.7666666666667,68,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 20:59:00,83,57.9333333333333,41,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 21:14:00,84,59.8666666666667,48,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 21:29:00,85,57.0666666666667,34,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 21:44:00,86,57.2666666666667,39,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 21:59:00,87,59.1666666666667,42,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 22:14:00,88,58.5666666666667,36,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 22:29:00,89,58,48,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 22:44:00,90,59.0333333333333,37,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 22:59:00,91,57.4666666666667,24,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 23:14:00,92,56.2333333333333,40,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 23:29:00,93,57.7666666666667,27,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 23:44:00,94,59.7333333333333,18,FALSE,FALSE
"LegacyParkway/810",0,2019-01-07,7,2019-01-07 23:59:00,95,58.4666666666667,20,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 00:14:00,0,59.2666666666667,13,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 00:29:00,1,61.2333333333333,11,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 00:44:00,2,61.8666666666667,8,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 00:59:00,3,58.3666666666667,9,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 01:14:00,4,61.2333333333333,6,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 01:29:00,5,60.3,12,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 01:44:00,6,57.4,5,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 01:59:00,7,59.5333333333333,4,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 02:14:00,8,59.7333333333333,1,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 02:29:00,9,59.8333333333333,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 02:44:00,10,61.3333333333333,1,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 02:59:00,11,55.7666666666667,4,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 03:14:00,12,62.3666666666667,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 03:29:00,13,58.5,1,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 03:44:00,14,59.0333333333333,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 03:59:00,15,57.3,10,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 04:14:00,16,61.5666666666667,11,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 04:29:00,17,58.9333333333333,14,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 04:44:00,18,62.8333333333333,16,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 04:59:00,19,64.0333333333333,16,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 05:14:00,20,59.3,29,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 05:29:00,21,59.4333333333333,33,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 05:44:00,22,58.5,29,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 05:59:00,23,58.8666666666667,32,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 06:14:00,24,59.8333333333333,50,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 06:29:00,25,58.7,74,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 06:44:00,26,59.7666666666667,98,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 06:59:00,27,60.8333333333333,83,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 07:14:00,28,60.2666666666667,100,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 07:29:00,29,59.9666666666667,122,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 07:44:00,30,58.9666666666667,129,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 07:59:00,31,61.1666666666667,115,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 08:14:00,32,60.8333333333333,116,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 08:29:00,33,61.2,146,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 08:44:00,34,60.4666666666667,126,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 08:59:00,35,61,134,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 09:14:00,36,60,99,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 09:29:00,37,60.6,96,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 09:44:00,38,59.1333333333333,100,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 09:59:00,39,58.7333333333333,83,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 10:14:00,40,57.1,85,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 10:29:00,41,60.1333333333333,83,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 10:44:00,42,60.4333333333333,98,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 10:59:00,43,59.9666666666667,68,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 11:14:00,44,60.0666666666667,72,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 11:29:00,45,61.6,82,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 11:44:00,46,59.9,83,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 11:59:00,47,61.0666666666667,92,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 12:14:00,48,59.9333333333333,102,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 12:29:00,49,60.1666666666667,101,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 12:44:00,50,60.4666666666667,91,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 12:59:00,51,59.8666666666667,96,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 13:14:00,52,59.7333333333333,95,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 13:29:00,53,61.7666666666667,126,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 13:44:00,54,60.5666666666667,112,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 13:59:00,55,60.7666666666667,121,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 14:14:00,56,60.3333333333333,106,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 14:29:00,57,60.6333333333333,161,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 14:44:00,58,61.9666666666667,191,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 14:59:00,59,61.9,219,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 15:14:00,60,63.3666666666667,296,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 15:29:00,61,63.4,325,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 15:44:00,62,63.6666666666667,409,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 15:59:00,63,63.0333333333333,534,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 16:14:00,64,63.4333333333333,577,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 16:29:00,65,61.8666666666667,702,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 16:44:00,66,60.7333333333333,736,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 16:59:00,67,62.1,693,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 17:14:00,68,62.9,613,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 17:29:00,69,62.1333333333333,789,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 17:44:00,70,62.1666666666667,590,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 17:59:00,71,61.9666666666667,498,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 18:14:00,72,61.6,406,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 18:29:00,73,61.6,359,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 18:44:00,74,62.0333333333333,232,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 18:59:00,75,59.9666666666667,171,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 19:14:00,76,60.6666666666667,118,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 19:29:00,77,60.7333333333333,100,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 19:44:00,78,59.7666666666667,107,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 19:59:00,79,59.5,72,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 20:14:00,80,59.8333333333333,67,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 20:29:00,81,59.8666666666667,76,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 20:44:00,82,58.2666666666667,70,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 20:59:00,83,57.2666666666667,59,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 21:14:00,84,57.5333333333333,54,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 21:29:00,85,59.0333333333333,66,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 21:44:00,86,59.4666666666667,43,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 21:59:00,87,58.8,38,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 22:14:00,88,59.9333333333333,57,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 22:29:00,89,59.8333333333333,58,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 22:44:00,90,59.2,39,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 22:59:00,91,59.6666666666667,24,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 23:14:00,92,57.1666666666667,31,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 23:29:00,93,57.8333333333333,18,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 23:44:00,94,58.5666666666667,21,FALSE,FALSE
"LegacyParkway/810",0,2019-01-14,14,2019-01-14 23:59:00,95,59.6333333333333,22,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 00:14:00,0,58.5333333333333,12,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 00:29:00,1,60.4,11,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 00:44:00,2,59.8666666666667,16,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 00:59:00,3,62.8333333333333,15,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 01:14:00,4,55.4,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 01:29:00,5,62.3333333333333,10,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 01:44:00,6,59.0333333333333,9,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 01:59:00,7,57.4333333333333,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 02:14:00,8,57.6333333333333,2,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 02:29:00,9,57.1,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 02:44:00,10,56.3666666666667,5,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 02:59:00,11,55.1666666666667,6,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 03:14:00,12,57.2333333333333,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 03:29:00,13,58.6666666666667,7,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 03:44:00,14,57.2,3,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 03:59:00,15,58.8,11,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 04:14:00,16,58.6333333333333,2,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 04:29:00,17,56.9333333333333,17,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 04:44:00,18,56.7333333333333,10,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 04:59:00,19,56.4666666666667,20,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 05:14:00,20,61.7,17,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 05:29:00,21,58.0333333333333,31,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 05:44:00,22,57.9666666666667,29,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 05:59:00,23,59.4,25,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 06:14:00,24,58.9333333333333,43,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 06:29:00,25,60.6333333333333,53,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 06:44:00,26,54.1,62,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 06:59:00,27,49.7666666666667,63,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 07:14:00,28,42.8333333333333,54,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 07:29:00,29,40.8,46,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 07:44:00,30,42.8,67,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 07:59:00,31,44.6666666666667,96,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 08:14:00,32,46.1666666666667,72,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 08:29:00,33,45.0666666666667,99,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 08:44:00,34,45.9,101,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 08:59:00,35,47.8333333333333,106,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 09:14:00,36,44.6333333333333,97,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 09:29:00,37,47.9666666666667,81,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 09:44:00,38,45.0666666666667,122,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 09:59:00,39,55.4,101,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 10:14:00,40,54.7,47,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 10:29:00,41,60,75,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 10:44:00,42,53.1333333333333,61,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 10:59:00,43,53.9,101,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 11:14:00,44,58,74,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 11:29:00,45,59.6333333333333,66,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 11:44:00,46,59.4,89,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 11:59:00,47,58.5333333333333,88,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 12:14:00,48,61.4333333333333,103,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 12:29:00,49,59.9,99,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 12:44:00,50,59.8333333333333,96,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 12:59:00,51,61.5,86,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 13:14:00,52,60.8,88,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 13:29:00,53,60.8,77,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 13:44:00,54,60.8666666666667,106,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 13:59:00,55,60.3333333333333,92,FALSE,FALSE
"LegacyParkway/810",0,2019-01-21,21,2019-01-21 14:14:00,56,60.6666666666667,117,FALSE,FALSE
