site_name,day_of_week,date,day_of_year,timestamp,interval_of_day,avg_mph,total_volume,missing_speed,missing_volume
SR 14/102001,1,2019-01-01,1,2019-01-01 00:14:00.000000,0,60.0,25.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 00:29:00.000000,1,60.0,48.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 00:44:00.000000,2,60.0,55.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 00:59:00.000000,3,60.0,59.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 01:14:00.000000,4,60.0,51.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 01:29:00.000000,5,60.0,45.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 01:44:00.000000,6,60.0,38.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 01:59:00.000000,7,60.0,33.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 02:14:00.000000,8,60.0,25.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 02:29:00.000000,9,60.0,29.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 02:44:00.000000,10,60.0,31.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 02:59:00.000000,11,60.0,17.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 03:14:00.000000,12,60.0,14.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 03:29:00.000000,13,60.0,14.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 03:44:00.000000,14,60.0,19.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 03:59:00.000000,15,60.0,10.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 04:14:00.000000,16,60.0,5.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 04:29:00.000000,17,60.0,16.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 04:44:00.000000,18,60.0,11.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 04:59:00.000000,19,60.0,7.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 05:14:00.000000,20,60.0,11.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 05:29:00.000000,21,60.0,3.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 05:44:00.000000,22,60.0,12.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 05:59:00.000000,23,60.0,15.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 06:14:00.000000,24,60.0,14.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 06:29:00.000000,25,60.0,13.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 06:44:00.000000,26,60.0,13.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 06:59:00.000000,27,60.0,19.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 07:14:00.000000,28,60.0,13.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 07:29:00.000000,29,60.0,18.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 07:44:00.000000,30,60.0,13.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 07:59:00.000000,31,60.0,22.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 08:14:00.000000,32,60.0,18.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 08:29:00.000000,33,60.0,12.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 08:44:00.000000,34,60.0,22.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 08:59:00.000000,35,60.0,19.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 09:14:00.000000,36,60.0,36.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 09:29:00.000000,37,60.0,30.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 09:44:00.000000,38,60.0,40.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 09:59:00.000000,39,60.0,42.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 10:14:00.000000,40,60.0,41.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 10:29:00.000000,41,60.0,46.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 10:44:00.000000,42,60.0,57.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 10:59:00.000000,43,60.0,51.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 11:14:00.000000,44,60.0,51.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 11:29:00.000000,45,60.0,70.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 11:44:00.000000,46,60.0,76.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 11:59:00.000000,47,59.02,82.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 12:14:00.000000,48,60.0,89.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 12:29:00.000000,49,60.0,93.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 12:44:00.000000,50,60.0,99.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 12:59:00.000000,51,60.0,82.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 13:14:00.000000,52,60.0,103.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 13:29:00.000000,53,59.93,130.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 13:44:00.000000,54,60.26,122.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 13:59:00.000000,55,60.0,112.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 14:14:00.000000,56,60.0,103.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 14:29:00.000000,57,60.0,120.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 14:44:00.000000,58,60.0,121.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 14:59:00.000000,59,59.85,123.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 15:14:00.000000,60,60.0,116.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 15:29:00.000000,61,59.8,136.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 15:44:00.000000,62,60.0,120.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 15:59:00.000000,63,60.0,118.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 16:14:00.000000,64,60.0,116.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 16:29:00.000000,65,60.28,127.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 16:44:00.000000,66,60.47,96.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 16:59:00.000000,67,60.0,106.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 17:14:00.000000,68,60.0,107.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 17:29:00.000000,69,60.0,123.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 17:44:00.000000,70,59.36,88.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 17:59:00.000000,71,59.03,116.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 18:14:00.000000,72,60.0,91.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 18:29:00.000000,73,60.0,74.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 18:44:00.000000,74,60.0,85.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 18:59:00.000000,75,60.0,76.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 19:14:00.000000,76,60.0,67.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 19:29:00.000000,77,60.0,75.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 19:44:00.000000,78,60.0,67.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 19:59:00.000000,79,60.0,68.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 20:14:00.000000,80,60.0,55.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 20:29:00.000000,81,60.0,51.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 20:44:00.000000,82,60.0,48.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 20:59:00.000000,83,60.0,47.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 21:14:00.000000,84,60.0,31.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 21:29:00.000000,85,60.0,45.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 21:44:00.000000,86,60.0,30.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 21:59:00.000000,87,60.0,28.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 22:14:00.000000,88,60.0,24.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 22:29:00.000000,89,60.0,26.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 22:44:00.000000,90,60.0,15.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 22:59:00.000000,91,60.0,16.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 23:14:00.000000,92,60.0,21.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 23:29:00.000000,93,60.0,17.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 23:44:00.000000,94,60.0,8.0,False,False
SR 14/102001,1,2019-01-01,1,2019-01-01 23:59:00.000000,95,60.0,13.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 00:14:00.000000,0,60.0,15.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 00:29:00.000000,1,60.0,8.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 00:44:00.000000,2,60.0,9.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 00:59:00.000000,3,60.0,4.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 01:14:00.000000,4,60.0,7.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 01:29:00.000000,5,60.0,7.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 01:44:00.000000,6,60.0,5.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 01:59:00.000000,7,60.0,1.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 02:14:00.000000,8,60.0,8.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 02:29:00.000000,9,60.0,3.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 02:44:00.000000,10,60.0,2.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 02:59:00.000000,11,60.0,2.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 03:14:00.000000,12,60.0,4.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 03:29:00.000000,13,60.0,11.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 03:44:00.000000,14,60.0,7.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 03:59:00.000000,15,60.0,6.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 04:14:00.000000,16,60.0,2.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 04:29:00.000000,17,60.0,11.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 04:44:00.000000,18,60.0,15.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 04:59:00.000000,19,60.0,12.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 05:14:00.000000,20,60.0,10.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 05:29:00.000000,21,60.0,32.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 05:44:00.000000,22,60.0,49.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 05:59:00.000000,23,60.0,49.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 06:14:00.000000,24,60.0,59.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 06:29:00.000000,25,60.0,85.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 06:44:00.000000,26,60.0,123.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 06:59:00.000000,27,59.78,139.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 07:14:00.000000,28,59.84,111.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 07:29:00.000000,29,58.8,126.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 07:44:00.000000,30,60.06,161.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 07:59:00.000000,31,59.2,151.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 08:14:00.000000,32,59.86,138.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 08:29:00.000000,33,60.24,148.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 08:44:00.000000,34,60.78,142.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 08:59:00.000000,35,59.74,115.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 09:14:00.000000,36,60.0,120.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 09:29:00.000000,37,60.0,118.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 09:44:00.000000,38,60.32,140.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 09:59:00.000000,39,59.94,150.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 10:14:00.000000,40,60.0,119.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 10:29:00.000000,41,58.53,139.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 10:44:00.000000,42,60.0,137.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 10:59:00.000000,43,58.78,137.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 11:14:00.000000,44,59.9,150.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 11:29:00.000000,45,59.09,156.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 11:44:00.000000,46,59.0,173.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 11:59:00.000000,47,59.9,155.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 12:14:00.000000,48,59.36,201.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 12:29:00.000000,49,59.74,189.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 12:44:00.000000,50,59.67,215.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 12:59:00.000000,51,59.39,213.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 13:14:00.000000,52,56.59,217.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 13:29:00.000000,53,59.71,219.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 13:44:00.000000,54,59.89,217.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 13:59:00.000000,55,59.57,223.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 14:14:00.000000,56,59.2,250.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 14:29:00.000000,57,58.39,260.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 14:44:00.000000,58,56.83,324.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 14:59:00.000000,59,58.87,280.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 15:14:00.000000,60,58.64,303.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 15:29:00.000000,61,58.21,324.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 15:44:00.000000,62,57.74,401.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 15:59:00.000000,63,60.18,350.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 16:14:00.000000,64,58.63,414.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 16:29:00.000000,65,59.01,370.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 16:44:00.000000,66,56.43,413.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 16:59:00.000000,67,56.67,400.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 17:14:00.000000,68,56.97,427.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 17:29:00.000000,69,56.03,425.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 17:44:00.000000,70,57.57,342.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 17:59:00.000000,71,58.85,261.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 18:14:00.000000,72,58.15,246.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 18:29:00.000000,73,59.3,216.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 18:44:00.000000,74,59.0,180.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 18:59:00.000000,75,60.14,174.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 19:14:00.000000,76,59.93,117.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 19:29:00.000000,77,60.07,134.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 19:44:00.000000,78,59.6,100.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 19:59:00.000000,79,60.0,108.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 20:14:00.000000,80,60.0,103.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 20:29:00.000000,81,60.0,109.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 20:44:00.000000,82,60.0,92.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 20:59:00.000000,83,60.0,79.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 21:14:00.000000,84,60.0,70.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 21:29:00.000000,85,60.0,89.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 21:44:00.000000,86,59.33,72.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 21:59:00.000000,87,60.0,54.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 22:14:00.000000,88,60.0,53.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 22:29:00.000000,89,60.0,41.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 22:44:00.000000,90,60.0,42.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 22:59:00.000000,91,60.0,27.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 23:14:00.000000,92,60.0,23.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 23:29:00.000000,93,60.0,25.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 23:44:00.000000,94,60.0,32.0,False,False
SR 14/102001,2,2019-01-02,2,2019-01-02 23:59:00.000000,95,60.0,34.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 00:14:00.000000,0,60.0,22.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 00:29:00.000000,1,60.0,12.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 00:44:00.000000,2,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 00:59:00.000000,3,60.0,13.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 01:14:00.000000,4,60.0,6.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 01:29:00.000000,5,60.0,12.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 01:44:00.000000,6,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 01:59:00.000000,7,60.0,6.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 02:14:00.000000,8,60.0,4.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 02:29:00.000000,9,60.0,6.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 02:44:00.000000,10,60.0,9.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 02:59:00.000000,11,60.0,6.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 03:14:00.000000,12,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 03:29:00.000000,13,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 03:44:00.000000,14,60.0,3.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 03:59:00.000000,15,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 04:14:00.000000,16,60.0,7.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 04:29:00.000000,17,60.0,11.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 04:44:00.000000,18,60.0,18.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 04:59:00.000000,19,60.0,11.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 05:14:00.000000,20,60.0,16.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 05:29:00.000000,21,60.0,22.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 05:44:00.000000,22,60.0,56.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 05:59:00.000000,23,60.0,57.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 06:14:00.000000,24,60.0,67.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 06:29:00.000000,25,60.0,90.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 06:44:00.000000,26,60.21,128.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 06:59:00.000000,27,60.0,146.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 07:14:00.000000,28,60.0,100.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 07:29:00.000000,29,59.39,152.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 07:44:00.000000,30,60.0,154.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 07:59:00.000000,31,59.35,176.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 08:14:00.000000,32,58.84,157.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 08:29:00.000000,33,60.1,176.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 08:44:00.000000,34,59.38,154.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 08:59:00.000000,35,59.69,0.0,True,False
SR 14/102001,3,2019-01-03,3,2019-01-03 09:14:00.000000,36,60.0,45.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 09:29:00.000000,37,60.0,111.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 09:44:00.000000,38,60.0,140.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 09:59:00.000000,39,59.75,145.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 10:14:00.000000,40,59.65,137.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 10:29:00.000000,41,60.0,160.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 10:44:00.000000,42,60.36,138.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 10:59:00.000000,43,59.72,176.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 11:14:00.000000,44,59.85,163.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 11:29:00.000000,45,58.88,150.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 11:44:00.000000,46,59.31,164.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 11:59:00.000000,47,59.28,212.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 12:14:00.000000,48,60.04,180.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 12:29:00.000000,49,58.67,216.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 12:44:00.000000,50,60.94,220.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 12:59:00.000000,51,59.45,192.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 13:14:00.000000,52,59.58,211.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 13:29:00.000000,53,60.4,195.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 13:44:00.000000,54,60.08,237.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 13:59:00.000000,55,59.41,213.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 14:14:00.000000,56,60.09,255.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 14:29:00.000000,57,60.36,266.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 14:44:00.000000,58,58.16,312.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 14:59:00.000000,59,59.83,279.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 15:14:00.000000,60,58.8,333.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 15:29:00.000000,61,57.82,311.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 15:44:00.000000,62,57.76,377.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 15:59:00.000000,63,57.58,320.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 16:14:00.000000,64,59.76,417.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 16:29:00.000000,65,58.8,394.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 16:44:00.000000,66,56.69,421.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 16:59:00.000000,67,59.54,400.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 17:14:00.000000,68,59.45,460.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 17:29:00.000000,69,52.6,490.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 17:44:00.000000,70,59.67,308.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 17:59:00.000000,71,57.38,309.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 18:14:00.000000,72,59.86,274.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 18:29:00.000000,73,58.57,245.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 18:44:00.000000,74,60.88,196.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 18:59:00.000000,75,59.96,182.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 19:14:00.000000,76,59.88,184.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 19:29:00.000000,77,60.0,135.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 19:44:00.000000,78,60.0,121.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 19:59:00.000000,79,59.54,87.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 20:14:00.000000,80,60.0,126.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 20:29:00.000000,81,60.0,110.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 20:44:00.000000,82,60.0,86.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 20:59:00.000000,83,60.0,99.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 21:14:00.000000,84,60.0,78.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 21:29:00.000000,85,60.0,84.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 21:44:00.000000,86,60.0,56.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 21:59:00.000000,87,60.0,47.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 22:14:00.000000,88,60.0,80.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 22:29:00.000000,89,60.0,55.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 22:44:00.000000,90,60.0,63.0,False,False
SR 14/102001,3,2019-01-03,3,2019-01-03 22:59:00.000000,91,60.0,50.0,False,False
